neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant,Featurizer,neuroid_id,top10_tstat_langloc_SN_parc_lang_int,fROI
10763,langfroi12345,0.3501108511411249,0.4818396792389182,0.3523967653975152,0.4849856662555354,0.7266127432554675,4,22,9.6,4.317406628984581,280.0,100.0,10.55016694250397,0.1647344254273731,0.3666886933442109,45,p3,Matryoshka,10763,1,IFGorb
110588,langfroi12345,0.3490188536852173,0.6123280467765585,0.3526384693829145,0.6186783977299534,0.569986717940712,5,37,14.8,9.64157663455516,460.0,100.0,6.923103941570092,0.3212526778914204,0.1669460802226429,IFSp,p3,Matryoshka,110588,2,IFG
96401,langfroi12345,0.3798148131354317,0.6094180402474695,0.3838312344574636,0.6158624429569763,0.6232418275330319,5,27,13.4,5.885575587824865,280.0,100.0,6.075199972008826,0.4629940121365261,0.0429481915450772,45,p3,Matryoshka,96401,2,IFG
84509,langfroi12345,0.3833795877136312,0.6119852979120782,0.3842078742006869,0.6133074839876603,0.626452284101619,6,76,26.0,18.611824198610947,64.0,100.0,6.927132065558719,0.3196372436417741,0.4572139461444965,IFSp,p3,Matryoshka,84509,2,IFG
110590,langfroi12345,0.3674310357956861,0.5944220256177125,0.3726376355017616,0.6028451506190174,0.6181315966780647,6,21,11.8,3.655133376499413,280.0,100.0,6.036957499095582,0.4026014361899631,0.1502054581771469,p9-46v,p3,Matryoshka,110590,2,IFG
154663,langfroi12345,0.3737674493632367,0.589708138374351,0.377797624457935,0.5960667098777447,0.6338176888546965,10,176,67.2,31.301118190888964,26.002,10.0,6.887786853028767,0.4494066201529982,-0.1419630285946565,IFSp,p3,Matryoshka,154663,2,IFG
84480,langfroi12345,0.3703695432010069,0.5887176777323985,0.372714143761516,0.5924445171081835,0.6291123185354022,3,13,8.2,2.1354156504062622,640.0,1000.0,6.0439369721593215,0.4125502481540877,0.1168188716828469,IFSp,p3,Matryoshka,84480,2,IFG
84508,langfroi12345,0.3661078668100594,0.5837695796467017,0.3670256454929919,0.585233004294231,0.6271444754480501,4,49,19.2,11.754148203932091,100.0,100.0,7.213856076923515,0.2549179410395821,0.405461232767217,IFSp,p3,Matryoshka,84508,2,IFG
96402,langfroi12345,0.3775033785268817,0.5721136256824206,0.383773197628214,0.5816156570349179,0.6598398667338038,5,25,10.8,5.635601121442148,82.0,100.0,5.865233527999675,0.4875618856415387,0.0126864276123965,45,p3,Matryoshka,96402,2,IFG
20478,langfroi12345,0.3720406080296261,0.5682444934580603,0.3751176231381669,0.5729442408887933,0.6547192490429031,6,22,11.0,3.794733192202055,460.0,100.0,6.464235583820223,0.3779575951843679,0.2372688606710687,IFSp,p3,Matryoshka,20478,2,IFG
20479,langfroi12345,0.3364620310743689,0.5578521953085609,0.3423695830641415,0.5676468839867186,0.6031383113734348,2,25,11.0,6.54217089351845,460.0,100.0,6.212482140284119,0.371587448848927,0.0466276330466651,p9-46v,p3,Matryoshka,20479,2,IFG
84506,langfroi12345,0.3332047338184671,0.5562239623686182,0.3362865868929883,0.5613685487281925,0.599047787153131,3,14,6.0,2.1908902300206643,280.0,100.0,9.288674287001712,0.2540610926169394,0.3150049254533299,IFSp,p3,Matryoshka,84506,2,IFG
9214,langfroi12345,0.3503659579403682,0.5518878839508393,0.3532694337381405,0.5564613679832344,0.6348498818857524,3,10,6.0,1.8973665961010275,640.0,1000.0,5.915330927208658,0.3698771810260491,0.1016269044330068,IFSp,p3,Matryoshka,9214,2,IFG
110612,langfroi12345,0.3421589917831736,0.5467446220694494,0.3466777030691602,0.5539651866421417,0.625811353183665,3,11,5.6,2.870540018881465,820.0,1000.0,5.919640752545429,0.1341669273594138,0.2486195523576354,IFSp,p3,Matryoshka,110612,2,IFG
44472,langfroi12345,0.3933060087373005,0.5442672471651187,0.3998948250261366,0.5533850252410616,0.7226339831872707,4,9,5.6,1.0198039027185568,28.0,10.0,5.663240186680378,0.5606583851454123,-0.1541226915772978,IFSp,p3,Matryoshka,44472,2,IFG
44470,langfroi12345,0.3884669166096869,0.5421572762625414,0.3942362350058699,0.5502091278201057,0.716520710166713,4,9,5.2,1.16619037896906,28.0,10.0,5.744658369033783,0.5631627039493969,-0.1333019419291628,IFSp,p3,Matryoshka,44470,2,IFG
84482,langfroi12345,0.3623948766056457,0.5381517541616878,0.3643179076604897,0.5410074306689411,0.6734064765247687,5,15,9.0,0.6324555320336759,442.0,100.0,6.809036084024992,0.4380625421266509,0.1875054334983751,IFSp,p3,Matryoshka,84482,2,IFG
115640,langfroi12345,0.3682045730070892,0.5283175739651678,0.3738873001791026,0.5364714233552086,0.6969379614681626,4,7,5.0,0.6324555320336759,64.0,100.0,5.231979724957148,0.5297138458539977,-0.104675937848026,IFSp,p3,Matryoshka,115640,2,IFG
44474,langfroi12345,0.3763555220448349,0.5240292171951304,0.3832352804779862,0.5336084427280199,0.7181956839339612,4,10,6.2,2.039607805437114,208.0,10.0,5.368697590455797,0.5516605703547979,-0.1640120512596903,IFSp,p3,Matryoshka,44474,2,IFG
84484,langfroi12345,0.3327627465500894,0.5223710387030177,0.337968240823862,0.5305426248524424,0.6370237281459897,5,51,19.8,12.383860464330176,64.0,100.0,8.042472820301143,0.495532619314678,0.1318040540447132,IFSp,p3,Matryoshka,84484,2,IFG
115639,langfroi12345,0.3690305766130862,0.5200372815967517,0.3739656600628563,0.5269917930771442,0.7096233090827528,4,10,5.4,1.8547236990991407,226.0,10.0,5.720732282073408,0.5721112029528732,-0.1247515415654418,IFSp,p3,Matryoshka,115639,2,IFG
84507,langfroi12345,0.3321559627320552,0.5185314952158643,0.3361154154212014,0.5247126304459901,0.6405704683257069,3,21,9.0,4.1952353926806065,100.0,100.0,9.861272166799209,0.3111708049563532,0.2318300229550415,IFSp,p3,Matryoshka,84507,2,IFG
54073,langfroi12345,0.3499375928360452,0.5154608989541737,0.3539984528753245,0.5214425785714154,0.678882905659845,4,11,5.8,1.6000000000000003,82.0,100.0,5.491000215477525,0.5428368574012721,-0.1078633166094179,IFSp,p3,Matryoshka,54073,2,IFG
37897,langfroi12345,0.3481428934915319,0.51704233457302,0.3482740456407874,0.5172371144025182,0.6733353735512445,6,52,21.6,9.562426470305535,62.001999999999995,100.0,9.099650004328817,0.4258182755847718,0.275470718524787,IFSp,p3,Matryoshka,37897,2,IFG
13754,langfroi12345,0.3453588978426123,0.5078689248002186,0.3500169432035451,0.5147188322556383,0.6800158091548263,4,7,5.4,0.7999999999999999,28.0,10.0,5.233507311882457,0.5177631282677401,-0.1374198320051194,IFSp,p3,Matryoshka,13754,2,IFG
84476,langfroi12345,0.3299658289652472,0.5017210014503897,0.3381031271332975,0.514093959579956,0.6576679628944619,2,11,5.4,3.006659275674582,640.0,1000.0,6.08520028040289,0.3771410138309808,0.0855084920366177,IFSp,p3,Matryoshka,84476,2,IFG
744,langfroi12345,0.3468341157474782,0.5050329459512181,0.3515230357664189,0.511860587705524,0.6867554256172814,4,6,4.8,0.7483314773547882,244.0,100.0,5.320196292013276,0.5024865491753046,-0.0900265940150254,IFSp,p3,Matryoshka,744,2,IFG
110589,langfroi12345,0.2920322497993624,0.5018764632042355,0.29782231315348,0.5118270646185981,0.5818807439880314,3,33,15.4,6.56048778674269,460.0,100.0,6.6730152083124805,0.3895477455244989,0.0290181121135359,p9-46v,p3,Matryoshka,110589,2,IFG
84471,langfroi12345,0.2868414677374932,0.4999771838317167,0.2931446671408289,0.5109639351953432,0.5737091151624207,2,13,6.6,2.5768197453450252,820.0,1000.0,5.183840995944455,0.4344932503381849,-0.1179389569632045,IFSp,p3,Matryoshka,84471,2,IFG
